entity_name,entity_code,avg_rabies,min_rabies,max_rabies,total_rabies
World,OWID_WRL,20192.370366666666,14075.508,24744.658,605771.111
"Lower Middle Income (WB)",,15193.959383333333,10202.528,19182.795,455818.7815
"South Asia (WB)",,11729.888753333335,10136.787,9289.771,351896.66260000004
"South-East Asia Region (WHO)",,11424.326893333337,10702.75,9701.554,342729.8068000001
G20,,10189.046003333331,10843.914,9875.178,305671.38009999995
India,IND,8599.173279999999,10190.644,9964.957,257975.19839999996
"Sub-Saharan Africa (WB)",,4748.2680900000005,4356.8184,5017.977,142448.04270000002
"African Region (WHO)",,4649.702376666666,4283.073,4917.784,139491.07129999998
"Low Income (WB)",,3568.1054499999996,3014.617,3873.533,107043.16349999998
"East Asia & Pacific (WB)",,3427.4611333333323,2009.9395,4591.0107,102823.83399999997
